iter	Logloss
0	0.6217386665
1	0.5635347665
2	0.5152757787
3	0.4748853718
4	0.4408082631
5	0.4119236724
6	0.387298588
7	0.3662821876
8	0.3482582924
9	0.3328246213
10	0.319564328
11	0.308155037
12	0.2983630166
13	0.2899511548
14	0.2827595856
15	0.276554189
16	0.2712562734
17	0.2667616245
18	0.2628552656
19	0.259538311
20	0.2567615181
21	0.254359028
22	0.2523183948
23	0.2505940922
24	0.2491332174
25	0.2479380693
26	0.2469373932
27	0.2460492484
28	0.2453378838
29	0.2447170716
30	0.244186127
31	0.2437397004
32	0.2433517718
33	0.2430781626
34	0.2428303431
35	0.2426102903
36	0.2424388325
37	0.2422827558
38	0.2421687961
39	0.2420723224
40	0.2419938867
41	0.2419012313
42	0.2418328447
43	0.2417900006
44	0.2417571907
45	0.2417270381
46	0.2416909331
47	0.2416606392
48	0.2416440234
49	0.2416298382
50	0.2416203202
51	0.2416100683
52	0.241586319
53	0.2415660474
54	0.2415491585
55	0.241541182
56	0.2415282899
57	0.2415254324
58	0.2415180676
59	0.2415126497
60	0.2415078269
61	0.2415042978
62	0.2415016086
63	0.2414990594
64	0.2414958157
65	0.2414945517
66	0.24149069
67	0.241490108
68	0.2414895404
69	0.2414893627
70	0.2414870215
71	0.2414856779
72	0.2414836463
73	0.2414835698
74	0.2414830082
75	0.2414839314
76	0.2414831925
77	0.2414809213
78	0.2414816953
79	0.2414816138
80	0.2414816662
81	0.2414788751
82	0.2414810192
83	0.2414804887
84	0.241478802
85	0.2414788406
86	0.2414812567
87	0.2414796494
88	0.2414784194
89	0.2414792379
90	0.2414797851
91	0.2414797479
92	0.2414792197
93	0.2414799462
94	0.2414765931
95	0.241480001
96	0.2414780548
97	0.2414778667
98	0.2414777363
99	0.2414775136
